Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
קיה ספורטז',1,2016,"92,000₪",1591,"90,000",בנזין,אוטומט,לבןמטאלי
מרצדס GLE,1,2016,"293,000₪",2996,"65,000",היברידיחשמל/בנזין,אוטומט,לבן
סקודה קארוק,3,2019,"148,000₪",1968,"57,500",דיזל,אוטומט,אפורמטאלי
דאצ'יה דאסטר החדש,1,2018,"65,000₪",1461,"97,000",דיזל,אוטומט,אפורמטאלי
טויוטה אוולון,4,2009,"37,000₪",3456,"150,000",בנזין,אוטומט,שחורמטאלי
מאזדה 3,3,2018,"82,000₪",1998,"100,000",בנזין,אוטומט,לבןמטאלי
מרצדס E-Class קופה / קבריולט,1,2021,"489,000₪",1991,"8,800",בנזין,אוטומט,שחורמטאלי
סיאט לאון,1,2018,"188,000₪",1984,"63,000",בנזין,אוטומט,אדום
סוזוקי SX4 קרוסאובר,1,2021,"122,000₪",1373,"11,000",בנזין,אוטומט,אפורעכבר
יונדאי איוניק,1,2019,"91,000₪",1580,"130,000",בנזין,אוטומט,כסוף
סאנגיונג טיבולי,1,2019,"82,000₪",1597,"75,000",דיזל,אוטומט,לבןפנינה
פרארי פורטופינו,1,2021,"1,890,000₪",3855,,בנזין,אוטומט,אפורמטאלי
ניסאן קשקאי,1,2021,"131,000₪",1461,"14,000",דיזל,אוטומט,שחורמטאלי
הונדה אקורד,2,2011,"46,900₪",1997,"121,293",בנזין,אוטומט,כסוף
סיטרואן ברלינגו דור 2 (2008-2019),2,2017,"54,000₪",1560,"148,000",דיזל,ידנית,לבן
ב.מ.וו סדרה 7,2,2019,לאצויןמחיר,1998,"70,000",היברידיחשמל/בנזין,אוטומט,אפורמטאלי
שברולט קרוז,2,2014,לאצויןמחיר,1598,"143,000",בנזין,אוטומט,כחולמטאלי
ב.מ.וו סדרה 7,1,2021,לאצויןמחיר,2998,"18,000",היברידיחשמל/בנזין,אוטומט,לבןפנינה
קיה פיקנטו,1,2017,לאצויןמחיר,1248,"25,000",בנזין,אוטומט,כסוף
טויוטה פריוס פלוס הייבריד,1,2018,"99,000₪",1798,"139,000",בנזין,אוטומט,כסוף
אינפיניטי Q50,1,2018,"195,000₪",2997,"110,000",בנזין,אוטומט,אפורמטאלי
סיטרואן C5 איירקרוס,1,2020,"155,000₪",1598,"43,000",בנזין,אוטומט,שחורמטאלי
ג'יפ / Jeep רנגלר קצר,1,2020,"325,000₪",1995,"30,000",בנזין,אוטומט,לבן
ניסאן קשקאי,1,2017,"90,000₪",1197,"21,000",בנזין,אוטומט,לבןפנינה
מיצובישי ASX,2,2018,"101,000₪",1998,"34,000",בנזין,אוטומט,כסוף
פורד אדג' / EDGE,5,2013,"66,000₪",3497,"160,000",בנזין,אוטומט,לבן
וולוו XC90,1,2020,"475,000₪",1969,"25,300",היברידיחשמל/בנזין,אוטומט,בז'מטאלי
סוזוקי ג'ימני,1,2020,לאצויןמחיר,1462,"34,500",בנזין,ידנית,שחורמטאלי
פורד אקספלורר,1,2017,"195,000₪",3497,"74,000",בנזין,אוטומט,זהבמטאלי
מרצדס ML Class,3,2012,"109,000₪",2143,"179,400",דיזל,אוטומט,לבן
ג'יפ / Jeep רנגלר ארוך,4,2007,"155,000₪",3778,"290,000",בנזין,אוטומט,אפור
מרצדס GLC,2,2016,"200,000₪",1991,"68,000",בנזין,אוטומט,לבןמטאלי
וולוו XC60,4,2009,"34,400₪",2953,"247,000",בנזין,אוטומט,שחורמטאלי
וולוו XC60,4,2011,"49,800₪",1999,"134,000",בנזין,אוטומט,שחור
סקודה קארוק,1,2020,"142,000₪",1498,"35,000",בנזין,אוטומט,לבןמטאלי
לקסוס RX300,2,2019,"238,000₪",1998,"63,000",בנזין,אוטומט,לבןפנינה
ג'יפ / Jeep גרנד צ'ירוקי,2,2009,"63,000₪",3700,"220,000",בנזין,אוטומט,לבן
קיה ספורטז',2,2014,"65,900₪",1998,"102,000",בנזין,אוטומט,שחורמטאלי
סוזוקי אלטו,1,2013,"14,900₪",996,"162,000",בנזין,ידנית,לבן
סובארו XV,1,2019,לאצויןמחיר,1600,"21,000",בנזין,אוטומט,לבן
שברולט ספארק,3,2011,"12,500₪",1206,"190,000",בנזין,ידנית,שחורמטאלי
פורד מוסטנג,0,2021,1205₪לחודש,2261,,בנזין,אוטומט,לבן
טויוטה יאריס,1,2015,"63,000₪",1329,"85,000",בנזין,אוטומט,לבן
מאזדה CX-5,1,2015,לאצויןמחיר,1998,"83,000",בנזין,אוטומט,כחול
שברולט סילברדו 2500,0,2021,2190₪לחודש,6600,,טורבודיזל,אוטומט,
מרצדס A-Class,0,2021,"302,900₪",1332,,בנזין,אוטומט,לבן
רנו מגאן אסטייט/ גראנד טור,1,2019,"92,000₪",1461,"92,900",דיזל,אוטומט,אפורמטאלי
סקודה אוקטביה,2,2013,"32,000₪",1390,"208,000",בנזין,אוטומט,כסוף
הונדה CR-V,1,2017,לאצויןמחיר,1997,"49,000",בנזין,אוטומט,אפורמטאלי
שברולט ספארק,2,2014,"10,000₪",995,"161,000",בנזין,ידנית,שחור
הונדה סיוויק סדאן החדשה,2,2015,"61,900₪",1798,"159,413",בנזין,אוטומט,אפורמטאלי
לקסוס GS450H,4,2011,"59,000₪",3456,"215,000",בנזין,אוטומט,לבןפנינה
רנו קליאו דור 4 (2013-2019),0,2015,1000₪לחודש,1197,,בנזין,אוטומט,לבןפנינה
רנו קדגא'ר,1,2017,"79,000₪",1461,"119,000",דיזל,אוטומט,לבןפנינה
אלפא רומיאו מיטו / MITO,1,2019,"109,900₪",1368,"10,745",בנזין,אוטומט,לבן
מיצובישי אאוטלנדר,2,2015,"82,000₪",1998,"112,000",בנזין,אוטומט,לבןפנינה
אאודי Q5,1,2021,לאצויןמחיר,1984,"15,000",בנזין,אוטומט,שחור
יונדאי טוסון,2,2017,"85,000₪",1591,"119,000",בנזין,אוטומט,לבן
מרצדס G Class,1,2020,"1,070,000₪",3982,"48,000",בנזין,אוטומט,לבן
