Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
פיאט דובלו,1,2019,לאצויןמחיר,1598,"2,700",דיזל,ידנית,לבן
טויוטה אוולון,4,2009,"37,000₪",3456,"150,000",בנזין,אוטומט,שחורמטאלי
טויוטה אוריס הייבריד,1,2018,"76,000₪",1798,"136,000",בנזין,אוטומט,לבן
מרצדס E-Class קופה / קבריולט,1,2021,"489,000₪",1991,"8,800",בנזין,אוטומט,שחורמטאלי
יונדאי i10,1,2018,"52,015₪",1250,"73,364",בנזין,אוטומט,כסוף
סוזוקי SX4 קרוסאובר,1,2021,"122,000₪",1373,"11,000",בנזין,אוטומט,אפורעכבר
מרצדס A-Class,0,2021,"274,900₪",1332,,היברידיחשמל/בנזין,אוטומט,לבן
סאנגיונג טיבולי,1,2019,"82,000₪",1597,"75,000",דיזל,אוטומט,לבןפנינה
קיה ספורטז',1,2018,"95,000₪",1591,"102,000",בנזין,אוטומט,שחור
ניסאן קשקאי,1,2021,"131,000₪",1461,"14,000",דיזל,אוטומט,שחורמטאלי
יונדאי סונטה הייבריד,1,2021,"189,000₪",2000,,היברידיחשמל/בנזין,אוטומט,לבן
טויוטה C-HR,1,2019,"133,000₪",1798,"39,000",בנזין,אוטומט,כסוףמטאלי
סקודה קודיאק,1,2018,"192,000₪",1968,"62,000",דיזל,אוטומט,אפורעכבר
מרצדס CLA,3,2015,"160,000₪",1991,117,בנזין,אוטומט,לבן
סקודה אוקטביה RS,5,2014,"97,000₪",1984,"124,000",בנזין,אוטומט,לבןשנהב
מאזדה CX-5,2,2018,"132,000₪",1998,"69,000",בנזין,אוטומט,כסוף
פורד קוגה,2,2018,"99,000₪",1498,"64,000",בנזין,אוטומט,שחורמטאלי
קיה סורנטו,1,2013,"80,000₪",2359,"124,000",בנזין,אוטומט,אפורמטאלי
מאזדה 3,3,2017,"75,000₪",1496,"92,500",בנזין,אוטומט,לבןפנינה
ב.מ.וו סדרה 5,1,2021,"407,000₪",1998,"18,800",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
קיה ריו,3,2013,"17,000₪",1396,"250,000",בנזין,אוטומט,לבן
ב.מ.וו סדרה 5,1,2018,"298,000₪",1998,"72,500",היברידיחשמל/בנזין,אוטומט,אפורמטאלי
לנד רובר ריינג' רובר ספורט,3,2018,"470,000₪",1997,"74,000",היברידיחשמל/בנזין,אוטומט,לבןמטאלי
ג'יפ / Jeep רנגלר ארוך,2,2019,"340,000₪",1995,"59,000",בנזין,אוטומט,סגולחציל
טויוטה לנד קרוזר קצר,2,2008,"140,000₪",2982,"295,000",דיזל,אוטומט,כחולכהה
לנד רובר ריינג' רובר,2,2012,"210,000₪",4367,"280,000",דיזל,אוטומט,שחור
דודג' ניטרו,6,2010,"46,500₪",3700,"131,000",בנזין,אוטומט,שחורמטאלי
פולקסווגן טיגואן,1,2018,"143,000₪",1984,"73,000",בנזין,אוטומט,שחורמטאלי
פיג'ו 108,1,2016,"28,900₪",1199,"95,000",בנזין,ידנית,כחולכההמטאלי
אלפא רומיאו מיטו / MITO,2,2016,"67,095₪",1368,"99,375",בנזין,אוטומט,לבן
סקודה אוקטביה,2,2018,"87,000₪",999,"73,000",בנזין,אוטומט,לבןמטאלי
סקודה סופרב (2019 ואילך),0,2021,1026₪לחודש,1395,,היברידיחשמל/בנזין,אוטומט,כסוףמטאלי
פורד אדג' / EDGE,2,2017,2900₪לחודש,3497,"120,000",בנזין,אוטומט,אפורמטאלי
ניסאן מיקרה,1,2019,לאצויןמחיר,1198,"27,700",בנזין,אוטומט,לבן
ניסאן קשקאי פלוס 2,3,2010,"40,000₪",1997,"150,000",בנזין,אוטומט,בז'מטאלי
פורשה פאנאמרה,1,2020,"705,000₪",2894,"35,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
קיה ספורטז',2,2016,"79,900₪",1591,"142,000",בנזין,אוטומט,לבןפנינה
טויוטה פריוס הייבריד,1,2018,לאצויןמחיר,1798,"69,000",בנזין,אוטומט,לבן
מרצדס GLC-Class קופה,1,2021,"459,000₪",1991,"5,000",היברידיחשמל/בנזין,אוטומט,לבן
יונדאי סונטה הייבריד,1,2021,"163,000₪",1999,"17,000",בנזין,אוטומט,אפורמטאלי
פיג'ו 508,0,2021,"184,900₪",1598,,בנזין,אוטומט,שחור
ג'יפ / Jeep גרנד צ'ירוקי,1,2019,"240,000₪",3604,"18,000",בנזין,אוטומט,לבן
שברולט קורבט,2,2021,"669,900₪",6162,"17,000",בנזין,אוטומט,אדום
מרצדס E-Class,1,2021,4496₪לחודש,1991,"21,000",היברידיחשמל/בנזין,אוטומט,אפורמטאלי
אינפיניטי G37,2,2013,לאצויןמחיר,3696,,,,
יונדאי סנטה פה,2,2014,"110,000₪",2199,"150,644",דיזל,אוטומט,חוםמטאלי
דודג' ניטרו,6,2010,"46,500₪",3700,"131,000",בנזין,אוטומט,שחורמטאלי
פולקסווגן טיגואן,1,2018,"143,000₪",1984,"73,000",בנזין,אוטומט,שחורמטאלי
שברולט טראקס,3,2014,"50,000₪",1364,"82,000",בנזין,אוטומט,שחורמטאלי
לקסוס NX,1,2021,"255,000₪",2494,"15,000",בנזין,אוטומט,לבןפנינה
אאודי SQ7,2,2018,"415,000₪",3956,"114,000",דיזל,אוטומט,לבן
ג'יפ / Jeep גרנד צ'ירוקי,1,2020,"339,600₪",3604,"71,000",בנזין,אוטומט,לבן
יונדאי טאראקן,3,2007,"39,500₪",2902,"301,000",דיזל,אוטומט,אפור
ניסאן קשקאי,2,2016,לאצויןמחיר,1197,"97,000",בנזין,אוטומט,לבן
סקודה קודיאק,1,2017,"130,000₪",1395,"100,500",בנזין,אוטומט,אפורמטאלי
ניסאן קשקאי,2,2015,"72,500₪",1197,"51,453",בנזין,אוטומט,שחור
אאודי Q2,1,2017,"105,900₪",1395,,,,
מרצדס GL Class,3,2009,"89,000₪",4663,"235,000",בנזין,אוטומט,שחורמטאלי
פיג'ו 2008,1,2016,"44,999₪",1199,"110,000",בנזין,אוטומט,שחור
אאודי Q5,3,2013,"84,000₪",1984,170,בנזין,אוטומט,לבן
אאודי Q7,2,2016,"245,000₪",2967,"126,300",דיזל,אוטומט,אפורמטאלי
ג'יפ / Jeep גרנד צ'ירוקי,2,2015,"175,000₪",2987,"192,000",דיזל,אוטומט,כסוףמטאלי
ג'יפ / Jeep קומפאס,1,2021,"187,000₪",1332,"14,000",בנזין,אוטומט,אפורמטאלי
סקודה אוקטביה,2,2018,"87,000₪",999,"73,000",בנזין,אוטומט,לבןמטאלי
טויוטה קורולה,1,2018,לאצויןמחיר,1598,"96,293",בנזין,אוטומט,אפור
פורד אדג' / EDGE,2,2017,2900₪לחודש,3497,"120,000",בנזין,אוטומט,אפורמטאלי
מאזדה 3,0,2018,"88,000₪",1998,,בנזין,אוטומט,אפורמטאלי
ניסאן קשקאי פלוס 2,3,2010,"40,000₪",1997,"150,000",בנזין,אוטומט,בז'מטאלי
סקודה אוקטביה,1,2018,"88,000₪",999,"71,000",בנזין,אוטומט,אפורמטאלי
קיה ספורטז',2,2016,"79,900₪",1591,"142,000",בנזין,אוטומט,לבןפנינה
מרצדס E-Class,0,2021,2018₪לחודש,1991,,היברידיחשמל/בנזין,אוטומט,שחורמטאלי
מרצדס GLC-Class קופה,1,2021,"459,000₪",1991,"5,000",היברידיחשמל/בנזין,אוטומט,לבן
יונדאי סונטה הייבריד,1,2021,"205,500₪",1999,"1,000",בנזין,אוטומט,לבןפנינה
טויוטה קאמרי,0,2021,"179,900₪",2487,,בנזין,אוטומט,כסףמטלי
ג'יפ / Jeep גרנד צ'ירוקי,1,2019,"240,000₪",3604,"18,000",בנזין,אוטומט,לבן
טויוטה יאריס,1,2019,"75,293₪",1500,"63,249",בנזין,אוטומט,לבן
מרצדס E-Class,1,2021,4496₪לחודש,1991,"21,000",היברידיחשמל/בנזין,אוטומט,אפורמטאלי
סיטרואן C5,1,2020,"168,000₪",1997,"10,294",דיזל,אוטומט,לבן
רנו מגאן אסטייט/ גראנד טור,2,2016,"29,900₪",1197,"94,000",בנזין,אוטומט,לבן
מיצובישי טרייטון / L200 4X4,1,2017,"154,900₪",2442,"121,000",דיזל,אוטומט,לבן
טויוטה קורולה הייבריד,2,2020,"132,000₪",1798,"15,000",בנזין,אוטומט,שחורמטאלי
סקודה אוקטביה,2,2017,"69,000₪",1197,"109,000",בנזין,אוטומט,שחורמטאלי
פיג'ו 508,4,2016,"52,000₪",1598,"101,000",בנזין,אוטומט,לבןמטאלי
שברולט מאליבו,2,2013,"37,000₪",1998,"194,300",בנזין,אוטומט,לבן
מאזדה CX-5,2,2016,"92,000₪",1998,"124,000",בנזין,אוטומט,שחורמטאלי
מרצדס E-Class,1,2021,לאצויןמחיר,1991,"11,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
אופל קורסה,3,2013,"18,500₪",1398,"146,000",בנזין,אוטומט,אפור
פורד פוקוס,2,2012,"15,500₪",1999,"182,499",בנזין,אוטומט,פלטינה
יונדאי קונה,2,2018,"102,000₪",1591,"49,000",בנזין,אוטומט,אדוםמטאלי
פיג'ו 308,3,2012,"10,000₪",1598,"120,000",בנזין,אוטומט,כחולכהה
קרייזלר גראנד וויאג'ר,3,2010,"30,000₪",3778,"144,000",בנזין,אוטומט,שחור
ב.מ.וו סדרה 1,4,2015,"75,000₪",1598,"119,000",בנזין,אוטומט,לבן
פיג'ו 301,4,2014,"17,000₪",1199,"110,000",בנזין,ידנית,לבןפנינה
מאזדה MX-5,2,2016,"178,000₪",1998,"74,000",בנזין,ידנית,צהוב
סקודה רומסטר,3,2009,לאצויןמחיר,1598,"215,000",בנזין,טיפטרוניק,ברונזה
סוזוקי סוויפט,1,2012,"31,000₪",1242,"170,000",בנזין,אוטומט,לבןשנהב
רנו קליאו דור 4 (2013-2019),2,2017,לאצויןמחיר,1197,"54,000",בנזין,אוטומט,לבןשנהב
סקודה סופרב (עד 2019) ,4,2011,"27,999₪",1798,"200,000",בנזין,אוטומט,בורדו
טויוטה יאריס,1,2015,"63,000₪",1329,"85,000",בנזין,אוטומט,לבן
ג'יפ / Jeep רנגלר קצר,1,2020,"273,000₪",1995,"30,000",בנזין,אוטומט,כסוףמטאלי
ניסאן קשקאי פלוס 2,3,2010,"40,000₪",1997,,,,
ג'יפ / Jeep גרנד צ'ירוקי,0,2021,1936₪לחודש,3604,,בנזין,אוטומט,לבן
ניסאן ג'וק / Juke,2,2011,"40,000₪",1598,"157,000",בנזין,אוטומט,שחורמטאלי
סקודה סופרב (2019 ואילך),1,2019,"139,000₪",1984,"90,000",בנזין,אוטומט,אפורמטאלי
קאדילק SRX,3,2012,"63,000₪",2997,"149,000",בנזין,אוטומט,ברונזהמטאלי
קאדילק SRX,1,2016,"125,000₪",3564,"119,000",בנזין,אוטומט,שמפניה
אינפיניטי QX70 / FX37,1,2018,"190,000₪",3696,"73,000",בנזין,אוטומט,שחור
טויוטה קורולה הייבריד,0,2019,"106,000₪",1798,,בנזין,אוטומט,כסוף
סובארו פורסטר,3,2013,"61,900₪",1995,"165,000",בנזין,אוטומט,לבןמטאלי
טויוטה קורולה,1,2019,"102,900₪",1798,"91,000",בנזין,אוטומט,כסוףמטאלי
יונדאי סונטה הייבריד,1,2016,לאצויןמחיר,1999,"115,000",בנזין,אוטומט,אפורמטאלי
פולקסווגן גולף GTI,1,2015,"134,500₪",1984,"74,000",בנזין,אוטומט,אדוםמטאלי
אאודי A3,1,2017,1250₪לחודש,1395,"89,000",בנזין,אוטומט,לבן
טויוטה קורולה הייבריד,1,2021,"137,000₪",1798,"13,177",בנזין,אוטומט,לבן
סקודה סופרב (2019 ואילך),2,2021,"224,900₪",1395,"10,835",היברידיחשמל/בנזין,אוטומט,אפורמטאלי
מיני קופר,1,2013,"70,000₪",1598,"91,000",בנזין,אוטומט,שחורמטאלי
מאזדה 3,3,2010,"23,000₪",1598,"160,000",בנזין,אוטומט,אפור
ניסאן מיקרה,3,2009,"16,800₪",1386,"170,000",בנזין,אוטומט,בז'מטאלי
ניסאן קשקאי,1,2011,"40,000₪",1997,"152,000",בנזין,אוטומט,לבן
לקסוס GS300H,3,2016,"155,000₪",2494,"49,900",בנזין,אוטומט,לבןשנהב
שברולט קרוז,3,2014,"23,000₪",1598,"159,400",בנזין,אוטומט,לבן
יונדאי i20,2,2014,"26,000₪",1248,"168,000",בנזין,ידנית,בורדומטאלי
מיצובישי ספייס סטאר,1,2020,"70,000₪",1193,"1,500",בנזין,אוטומט,כסוףמטאלי
סיטרואן ברלינגו דור 2 (2008-2019),3,2014,"30,000₪",1560,"230,000",דיזל,ידנית,לבן
סקודה אוקטביה,2,2016,"83,000₪",1395,"40,000",בנזין,אוטומט,לבן
קאדילק SRX,5,2014,"90,000₪",3564,"161,000",בנזין,אוטומט,לבןפנינה
וולוו S90,2,2021,"369,009₪",1969,"15,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
ניסאן אקס טרייל,1,2021,"185,000₪",1749,"30,000",דיזל,אוטומט,לבןפנינה
ניסאן קשקאי,3,2008,"28,900₪",1997,"182,000",בנזין,אוטומט,כסוף
יונדאי טוסון,1,2020,"150,000₪",1999,"16,000",בנזין,אוטומט,שחור
קיה ספורטז',2,2019,"125,000₪",1999,"38,000",בנזין,אוטומט,לבןפנינה
שברולט טראוורס,2,2015,לאצויןמחיר,3564,"140,000",בנזין,אוטומט,לבן
אופל אינסיגניה,2,2011,"27,000₪",1998,"136,000",בנזין,אוטומט,כסףמטלי
אופל אסטרה,2,2012,"19,900₪",1598,"125,000",בנזין,אוטומט,אפורעכבר
ב.מ.וו M4,0,2022,"785,000₪",2993,,בנזין,אוטומט,אפור
מרצדס ML Class,3,2010,"69,900₪",2987,"303,000",דיזל,אוטומט,שחורמטאלי
סיטרואן C4 פיקאסו,2,2011,"18,000₪",1598,"131,000",בנזין,אוטומט,כסוףמטאלי
פורד גלאקסי,2,2013,750₪לחודש,1999,"145,000",בנזין,אוטומט,אפורעכבר
מרצדס C-Class,5,2007,"29,000₪",1796,,,,
פיאט דובלו,1,2018,890₪לחודש,1248,"110,000",דיזל,ידנית,לבן
איסוזו 4X4 D-MAX,2,2011,"79,000₪",2999,"194,000",דיזל,אוטומט,שחור
ג'יפ / Jeep רנגלר ארוך,1,2021,"295,000₪",1995,"40,000",בנזין,אוטומט,אפור
וולוו S60,3,2013,"39,000₪",1969,"195,000",בנזין,אוטומט,טוניק
סקודה אוקטביה,2,2014,"39,900₪",1197,"108,000",בנזין,אוטומט,ברונזה
מרצדס E-Class,1,2017,"285,000₪",1991,"45,230",היברידיחשמל/בנזין,אוטומט,שחור
רנו קדגא'ר,1,2018,"109,990₪",1461,"43,000",דיזל,אוטומט,אפורעכבר
פורד מוסטנג,2,2019,"237,000₪",2261,"48,000",בנזין,אוטומט,שחור
מאזדה 3,3,2018,"81,300₪",1998,"71,360",בנזין,אוטומט,שחורמטאלי
איסוזו 2X4 D-MAX,1,2016,לאצויןמחיר,2499,"180,000",דיזל,אוטומט,לבן
ג'יפ / Jeep גרנד צ'ירוקי,4,2012,לאצויןמחיר,3604,"140,000",בנזין,אוטומט,שחור
טויוטה היילנדר,0,2022,"325,000₪",3500,,בנזין,אוטומט,אפורמטאלי
יונדאי טוסון,1,2020,"150,000₪",1999,"16,000",בנזין,אוטומט,שחור
קיה ספורטז',2,2019,"125,000₪",1999,"38,000",בנזין,אוטומט,לבןפנינה
שברולט טראוורס,2,2015,לאצויןמחיר,3564,"140,000",בנזין,אוטומט,לבן
אופל אינסיגניה,2,2011,"27,000₪",1998,"136,000",בנזין,אוטומט,כסףמטלי
טויוטה קורולה הייבריד,3,2020,"110,000₪",1798,"30,000",בנזין,אוטומט,לבןמטאלי
סיטרואן C4 פיקאסו,3,2012,"20,000₪",1598,"126,000",בנזין,רובוטית,כחול
סקודה סופרב (עד 2019) ,2,2017,"132,000₪",1798,"118,000",בנזין,אוטומט,שמפניה
לנד רובר דיסקברי 5,3,2017,"370,000₪",2995,"44,000",דיזל,אוטומט,ברונזהמטאלי
טויוטה C-HR,1,2018,"145,000₪",1798,"32,000",בנזין,אוטומט,לבןפנינה
סקודה רומסטר,2,2011,"15,000₪",1197,"316,000",בנזין,ידנית,לבן
סיאט לאון,1,2015,"93,000₪",1798,"96,000",בנזין,אוטומט,בורדו
וולוו XC90,1,2018,"316,000₪",1969,"74,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
מיצובישי אאוטלנדר,4,2011,"35,999₪",1998,"194,000",בנזין,אוטומט,שחור
מיצובישי ספייס סטאר,2,2018,"45,000₪",1193,"92,000",בנזין,אוטומט,כחול
פיג'ו 208,2,2016,"29,000₪",1199,"142,000",בנזין,אוטומט,אפורמטאלי
קאדילק SRX,4,2013,"82,008₪",3564,"118,000",בנזין,אוטומט,אפורמטאלי
שברולט טראקס,1,2014,"46,000₪",1364,"156,000",בנזין,אוטומט,כסוף
מרצדס E-Class,1,2017,"285,000₪",1991,"45,230",היברידיחשמל/בנזין,אוטומט,שחור
רנו קדגא'ר,1,2018,"109,990₪",1461,"43,000",דיזל,אוטומט,אפורעכבר
פורד מוסטנג,2,2019,"237,000₪",2261,"48,000",בנזין,אוטומט,שחור
מאזדה 3,3,2018,"81,300₪",1998,"71,360",בנזין,אוטומט,שחורמטאלי
איסוזו 2X4 D-MAX,1,2016,לאצויןמחיר,2499,"180,000",דיזל,אוטומט,לבן
ג'יפ / Jeep גרנד צ'ירוקי,4,2012,לאצויןמחיר,3604,"140,000",בנזין,אוטומט,שחור
טויוטה היילנדר,0,2022,"325,000₪",3500,,בנזין,אוטומט,אפורמטאלי
יונדאי טוסון,2,2021,"155,000₪",1999,"8,500",בנזין,אוטומט,אפורעכבר
סמארט פורפור,1,2018,לאצויןמחיר,898,"36,000",בנזין,אוטומט,לבן
טויוטה פריוס הייבריד,4,2009,"38,000₪",1798,"206,928",בנזין,אוטומט,כסוףמטאלי
קיה פיקנטו,0,2021,900₪לחודש,1248,,בנזין,אוטומט,אפורמטאלי
